站点编号,时间,出力(MW)
f1,2023-5-1 0:00,7.140430310739605
f1,2023-5-1 0:15,7.140430310739605
f1,2023-5-1 0:30,7.165413040436116
f1,2023-5-1 0:45,7.265503190701077
f1,2023-5-1 1:00,7.193797090122338
f1,2023-5-1 1:15,7.110298981020279
f1,2023-5-1 1:30,7.07861189537234
f1,2023-5-1 1:45,6.30178091188891
f1,2023-5-1 2:00,5.989998347381708
f1,2023-5-1 2:15,5.805887056190314
f1,2023-5-1 2:30,5.805887056190314
f1,2023-5-1 2:45,5.9295279075142915
f1,2023-5-1 3:00,5.624801958025167
f1,2023-5-1 3:15,5.624801958025167
f1,2023-5-1 3:30,5.808913249216562
f1,2023-5-1 3:45,5.971992692282248
f1,2023-5-1 4:00,5.91743109313496
f1,2023-5-1 4:15,5.91743109313496
f1,2023-5-1 4:30,5.91743109313496
f1,2023-5-1 4:45,5.91743109313496
f1,2023-5-1 5:00,5.971992692282248
f1,2023-5-1 5:15,6.018668785214575
f1,2023-5-1 5:30,6.018668785214575
f1,2023-5-1 5:45,6.018668785214575
f1,2023-5-1 6:00,6.199753883379722
f1,2023-5-1 6:15,5.773849838917112
f1,2023-5-1 6:30,5.773849838917112
f1,2023-5-1 6:45,5.773849838917112
f1,2023-5-1 7:00,5.8489597240933096
f1,2023-5-1 7:15,5.823502254895913
f1,2023-5-1 7:30,5.823502254895913
f1,2023-5-1 7:45,6.174296414182325
f1,2023-5-1 8:00,6.147496479700688
f1,2023-5-1 8:15,6.059456229666757
f1,2023-5-1 8:30,6.275150549802121
f1,2023-5-1 8:45,6.797501320135036
f1,2023-5-1 9:00,6.969545990226407
f1,2023-5-1 9:15,7.145750731911565
f1,2023-5-1 9:30,7.145750731911565
f1,2023-5-1 9:45,7.1277190564070745
f1,2023-5-1 10:00,7.1277190564070745
f1,2023-5-1 10:15,6.79420221774375
f1,2023-5-1 10:30,6.513174299610604
f1,2023-5-1 10:45,6.435436334045525
f1,2023-5-1 11:00,6.059515196429342
f1,2023-5-1 11:15,6.496641409107262
f1,2023-5-1 11:30,6.858330532033007
f1,2023-5-1 11:45,7.146458088270256
f1,2023-5-1 12:00,7.471869015244603
f1,2023-5-1 12:15,8.189602152655148
f1,2023-5-1 12:30,8.450049922693566
f1,2023-5-1 12:45,8.547280942981345
f1,2023-5-1 13:00,8.733385572021671
f1,2023-5-1 13:15,8.508686272552644
f1,2023-5-1 13:30,8.404326571427395
f1,2023-5-1 13:45,8.967846736943786
f1,2023-5-1 14:00,9.257706556610776
f1,2023-5-1 14:15,10.11972362744377
f1,2023-5-1 14:30,10.822093541590354
f1,2023-5-1 14:45,11.448079286208381
f1,2023-5-1 15:00,11.503153529601068
f1,2023-5-1 15:15,11.503153529601068
f1,2023-5-1 15:30,11.146677151512478
f1,2023-5-1 15:45,11.028147153205037
f1,2023-5-1 16:00,10.593129070751163
f1,2023-5-1 16:15,10.343844448702464
f1,2023-5-1 16:30,9.996966029602751
f1,2023-5-1 16:45,9.76861969737506
f1,2023-5-1 17:00,9.742248537125116
f1,2023-5-1 17:15,10.1550016773937
f1,2023-5-1 17:30,10.214461367600075
f1,2023-5-1 17:45,10.181458012655638
f1,2023-5-1 18:00,10.223318939865875
f1,2023-5-1 18:15,10.526625001865947
f1,2023-5-1 18:30,10.753161956689008
f1,2023-5-1 18:45,11.082831120431175
f1,2023-5-1 19:00,11.132683997210556
f1,2023-5-1 19:15,11.132683997210556
f1,2023-5-1 19:30,12.134547658294366
f1,2023-5-1 19:45,12.32752763589677
f1,2023-5-1 20:00,12.32752763589677
f1,2023-5-1 20:15,12.443424509883245
f1,2023-5-1 20:30,12.443424509883245
f1,2023-5-1 20:45,12.5668335996213
f1,2023-5-1 21:00,12.550624237507764
f1,2023-5-1 21:15,12.550624237507764
f1,2023-5-1 21:30,12.83976950577634
f1,2023-5-1 21:45,12.800163805010117
f1,2023-5-1 22:00,12.800163805010117
f1,2023-5-1 22:15,12.632505495169442
f1,2023-5-1 22:30,12.292358994572437
f1,2023-5-1 22:45,12.57979686215839
f1,2023-5-1 23:00,12.57979686215839
f1,2023-5-1 23:15,13.468506162612178
f1,2023-5-1 23:30,15.786394653450369
f1,2023-5-1 23:45,17.287790344527608
f1,2023-5-2 0:00,19.288279377062608
f1,2023-5-2 0:15,19.68600887487726
f1,2023-5-2 0:30,19.68600887487726
f1,2023-5-2 0:45,19.43343670408016
f1,2023-5-2 1:00,21.22155217732497
f1,2023-5-2 1:15,23.106745601106066
f1,2023-5-2 1:30,23.169752642259116
f1,2023-5-2 1:45,20.123910849138532
f1,2023-5-2 2:00,19.860114511934107
f1,2023-5-2 2:15,19.852206045713483
f1,2023-5-2 2:30,19.826772689096796
f1,2023-5-2 2:45,19.801024887342802
f1,2023-5-2 3:00,19.660233238764423
f1,2023-5-2 3:15,20.23287038523019
f1,2023-5-2 3:30,20.370799445242373
f1,2023-5-2 3:45,20.34559583494925
f1,2023-5-2 4:00,19.061047540045692
f1,2023-5-2 4:15,19.052961114438524
f1,2023-5-2 4:30,19.052961114438524
f1,2023-5-2 4:45,21.13601335280745
f1,2023-5-2 5:00,21.55821773478123
f1,2023-5-2 5:15,21.55821773478123
f1,2023-5-2 5:30,21.55821773478123
f1,2023-5-2 5:45,21.55821773478123
f1,2023-5-2 6:00,21.35675398806258
f1,2023-5-2 6:15,21.35675398806258
f1,2023-5-2 6:30,21.35675398806258
f1,2023-5-2 6:45,21.55821773478123
f1,2023-5-2 7:00,21.607613844087318
f1,2023-5-2 7:15,21.962979417924743
f1,2023-5-2 7:30,22.505338027346916
f1,2023-5-2 7:45,23.159894816761415
f1,2023-5-2 8:00,22.740344529062988
f1,2023-5-2 8:15,23.550778889147253
f1,2023-5-2 8:30,24.15952434957159
